http://british-library.georeferencer.com/id/,path,title,link
002OSD000000018U00024000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000018U00024000.tif,"Barnstaple, Devon",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000018u00024000.html
002OSD000000019U00040000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000019U00040000.tif,Bridport,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000019u00040000.html
002OSD000000020U00116000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000020U00116000.tif,Burford,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000020u00116000.html
002osd000000020u00168000,2019_06\2019_06 Missing Dezoomify\002osd000000020_00168000.jpg,Broad Hinton and Avebury,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000020u00168000.html
002osd000000020u00205000,2019_06\2019_06 Missing Dezoomify\002OSD000000020U00205000.jpg,Bromyard,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000020u00205000.html
002OSD000000020U00205000,2019_06\2019_06 Missing Dezoomify\002OSD000000020U00205000.jpg,Bromyard,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000020u00205000.html
002osd000000020u00237000,2019_06\2019_06 Missing Dezoomify\002osd000000020_00237000.jpg,Bury St Edmunds,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000020u00237000.html
002OSD000000021U00134000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000021U00134000.tif,Bridgend,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000021u00134000.html
002OSD000000022U00154000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000022U00154000.tif,Baulit,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000022u00154000.html
002OSD000000022U00158000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000022U00158000.tif,Bishop's Castle,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000022u00158000.html
002OSD000000022U00182000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000022U00182000.tif,Bicester,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000022u00182000.html
002OSD000000023U00192000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000023U00192000.tif,Bedford,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000023u00192000.html
002OSD000000024U00216000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000024U00216000.tif,Birmingham 24,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000024u00216000.html
002OSD000000025U00271000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000025U00271000.tif,Builth,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000025u00271000.html
002OSD00000027BU00436000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD00000027BU00436000.tif,"Bearsted, Kent",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd00000027bu00436000.html
002OSD00000027BU00439000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD00000027BU00439000.tif,"Boxley, Kent",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd00000027bu00439000.html
002ADD000034145U00000000,2019_06\2019-02 Zoomify Geo - Folder 2\Collection British FDRIVE One Standardised 002-000\002ADD000034145U00000000.tif,"Copy of a Survey of the Island of Jersey, taken by order of his Grace the Duke of Richmond, Master-General of the Ordnance",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002add000034145u00000000.html
002OSD000000001U00009000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000001U00009000.tif,"Camelford, Cornwall  (002OSD000000001U00009000)",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000001u00009000.html
002OSD000000001U00010000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000001U00010000.tif,"Camelford, Cornwall  (002OSD000000001U00010000)",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000001u00010000.html
002OSD000000002U00063000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000002U00063000.tif,Chiddingfold,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000002u00063000.html
002OSD000000002U00065000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000002U00065000.tif,Chobham,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000002u00065000.html
002OSD000000005U00323000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000005U00323000.tif,"Callington, Cornwall",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000005u00323000.html
002OSD000000005U00327000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000005U00327000.tif,"Cullompton, Devon",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000005u00327000.html
002OSD000000006U00370000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000006U00370000.tif,"Canterbury, Kent",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000006u00370000.html
002OSD000000006U00379000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000006U00379000.tif,"Chilham, Kent 6",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000006u00379000.html
002OSD000000006U00381000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000006U00381000.tif,"Challock, Kent",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000006u00381000.html
002OSD000000008U00076000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000008U00076000.tif,Croydon,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000008u00076000.html
002OSD000000008U00088000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000008U00088000.tif,Chelmsford 8,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000008u00088000.html
002OSD000000009U00103000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000009U00103000.tif,Chipping Barnet,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000009u00103000.html
002OSD000000009U00125000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000009U00125000.tif,Chipping Sodbury,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000009u00125000.html
002OSD000000010U00128000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000010U00128000.tif,Cheltenham,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000010u00128000.html
002OSD000000010U00136000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000010U00136000.tif,Carmarthen(002OSD000000010U00136000),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000010u00136000.html
002OSD000000010U00137000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000010U00137000.tif,Carmarthen(002OSD000000010U00137000),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000010u00137000.html
002OSD000000010U00142000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000010U00142000.tif,Cardigan,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000010u00142000.html
002OSD000000011U00180000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000011U00180000.tif,Chipping Camden,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000011u00180000.html
002OSD000000011U00206000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000011U00206000.tif,Castle Rising,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000011u00206000.html
002OSD000000012U00226000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000012U00226000.tif,Corby,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000012u00226000.html
002OSD000000013U00283000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000013U00283000.tif,Cader Idris,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000013u00283000.html
002OSD000000014U00292000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000014U00292000.tif,Combermere,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000014u00292000.html
002OSD000000014U00299000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000014U00299000.tif,Chartley Park,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000014u00299000.html
002OSD000000014U00316000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000014U00316000.tif,Cheadle,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000014u00316000.html
002OSD000000015U00343000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000015U00343000.tif,Christchurch,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000015u00343000.html
002OSD000000016U00331000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000016U00331000.tif,Cullompton,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000016u00331000.html
002OSD000000016U00346000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000016U00346000.tif,Cuckfield 16,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000016u00346000.html
002OSD000000016U00358000,2019_06\2019-02 Zoomify Geo - Folder 2\Collection British FDRIVE One Standardised 002-003\002OSD000000016U00358000.tif,Cranbrook (Kent),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000016u00358000.html
002OSD000000017U00367000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000017U00367000.tif,Canterbury (Kent),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000017u00367000.html
002OSD000000017U00375000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000017U00375000.tif,"Charing, Kent(002OSD000000017U00375000)",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000017u00375000.html
002OSD000000017U00376000,2019_06\2019_06 Missing\002OSD000000017_00376000.tif,"Charing, Kent(002OSD000000017U00376000)",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000017u00376000.html
002OSD000000017U00377000,2019_06\2019_06 Missing\002OSD000000017_00377000.tif,"Charing, Kent(002OSD000000017U00377000)",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000017u00377000.html
002OSD000000019U00029000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000019U00029000.tif,Crediton,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000019u00029000.html
002OSD000000021U00147000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000021U00147000.tif,Llandovery(002OSD000000021U00147000),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000019u00029000.html
002OSD000000019U00050000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000019U00050000.tif,Cranborne,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000019u00050000.html
002OSD000000020U00117000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000020U00117000.tif,Cirencester(002OSD000000020U00117000),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000020u00117000.html
002OSD000000020U00118000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000020U00118000.tif,Cirencester(002OSD000000020U00118000),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000020u00118000.html
002OSD000000020U00120000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000020U00120000.tif,Cricklade,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000020u00120000.html
002OSD000000021U00131000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000021U00131000.tif,Chepstow,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/c/002osd000000021u00131000.html
